subject_id,tic_id,img_id,tmag
"113558608","258799245","2508be00-9db9-4be2-b794-db28e2e81cd5","9.59"
"94811927","16488877","c2272907-2e15-43da-8a9b-10eada053cb8","9.86"
"48936440","188632557","951b183d-a9cf-43ad-bb82-431de68dfb64","13.44"
"87967177","469022819","ce9bc854-a6b4-4fe9-8f21-b2c0c9c22a28","10.26"
"94819374","337216607","77b1ff81-4114-4d02-83bc-d59d86077442","8.47"
"94272574","91329106","a349c851-2b94-4944-b65a-4b2ab9cdb946","9.16"
"95709442","138333980","25703f58-2324-404d-9378-2ab515ab23a6","7.13"
"91947825","350298314","07cded8b-7367-489a-b9fe-2593172f6547","10.43"
"113562645","75722876","16b1f254-13ef-418a-be11-ffe86e04760f","10.04"
"79213691","235666667","657d9f1e-99ef-4bd6-aa7f-330c5308d025","5.79"
"56979752","141096229","19aa9164-400f-452b-864d-31be6b91c402","9.96"
"113310348","375854079","e6a649df-940a-43fc-ba48-e6bef051f4a7","10.02"
"62785025","342314656","6d3e67f8-343b-4ff0-8d7e-c4c928a23918","10.71"
"113308899","233058262","6bc2cc97-6ecd-4f61-b8f2-db356c5d5e7a","14.67"
"113305953","264221104","301e718c-2194-4022-b992-46c6c087cfe9","9.21"
"113303278","311183125","88d2ef9c-753c-4329-b3e7-afbba90314e3","8.65"
"94818095","245872346","10b0a336-9ea7-4c7f-a364-0f842fb1e748","9.49"
"91695772","141096229","0489bdea-e077-4d2d-9f98-b39c36132b49","9.96"
"83935744","289044378","919f2346-ce18-405f-bf2d-26949ff7436e","9.92"
"101205693","467354611","cec3d188-2301-48e4-89f3-de5049e88cf5","9.1"
"88069135","458267524","c4be4de5-b547-4010-a621-0af6ff72e1ac","9.15"
"91671040","238229705","c323fe97-6098-4a91-ba5a-dea73d1e6781","11.9"
"90775269","210502402","4e44404e-b5cc-4015-86fd-48c2fb679050","6.27"
"99365742","362104293","5c90d1c4-df1d-405f-8e1a-1486f1eee945","10.11"
"98222812","63448792","5020399c-b9eb-4a0d-9a3b-f0e1a9fe753a","11.84"
"91701107","425644107","14e82488-43f5-472a-9e44-5c46c9ced929","9.28"
"50174432","394230860","a245e111-bf42-4ee6-a23b-70c9eaec5968","10.09"
"97491304","48451130","26522495-20c2-433a-8da2-e6f412254e88","13.76"
"97488885","120316928","b13649eb-ae3a-450b-8e89-fc61c4bc6ac0","14.61"
"97492072","121941586","ddc37acd-d780-439b-bbf4-995959b742f1","12.87"
"97499887","471011933","626f9577-f321-400d-b3c1-6da3b5187fa2","4.27"
"48936740","160533733","16c432a7-c2f4-47db-8928-5e426e31213b","10.58"
"92866217","177077475","cbfdcaab-379a-4d51-8837-99f86dea9e13","10.18"
"92871138","350518984","69199ad9-94ff-43e5-ab8d-75a49d9e8eee","8.65"
"88068752","445732660","adfc43b6-06e6-4d82-8b12-c02144421f42","9.37"
"91950760","142105299","8b51307d-90e0-4f4b-8bec-fc91460aeb19","12.42"
"90777129","288027491","cc3687c1-8293-4ef1-9a40-0e7e3bffe678","10.21"
"89186030","463953946","de28f95d-66bb-4863-9f57-b5628609b52e","7.86"
"85123398","289044378","f89a52e9-e7b7-4404-8466-eabf3232be65","9.92"
"91687116","349643889","ec32aba7-9beb-4ea4-965c-086dcb1d0c11","10.47"
"94811595","14394716","2eb6f1b0-1790-4e65-bcd0-9f43284f9c5c","12.52"
"58388534","267608606","c80aeeb4-4c16-4be9-b999-8431ca629c59","9.57"
"56358341","278990954","c4fb7edf-e190-4b90-96aa-a32f44c6f5b4","10.19"
